ID;title;production_year
1982;Augurio: Primera parte de vestida de fiesta;1981
1983;Augustin, roi du Kung-fu;1999
1984;Autopista A-2-7;1977
1985;Autopista B30;1977
1986;Autopista, unha navallada á nosa terra;1977
1987;Autopsia;1999
1988;Ave Fénix;1995
1989;Ave María;1999
1990;Aventuras de Pinín y sus amigos;1979
1991;Avisa a Curro Jiménez;1978
1992;Ay qué ruina;1979
1993;Ayuda;1999
1994;Ayutaya, el fin de una ciudad;1980
1995;Añoranzas;1982
1996;B;1996
1997;Bacanal en directo;1979
1998;Bacanales romanas;1982
1999;Bacanales romanas, II Parte;1985
2000;Badis;1990
2001;Bahía blanca;1984
2002;Baja corazón;1992
2003;Bajarse al moro;1989
2004;Bajo en nicotina;1984
2005;Bajo la arena;1992
2006;Bajo la piel;1996
2007;Bajo un cielo extraño;1994
2008;Bajomonte;1993
2009;Bakterion;1982
2010;Balada da Praia dos Cães;1987
2011;Bandera negra;1986
2012;Bandidos;1991
2013;Bangkok, cita con la muerte;1985
2014;Banter;1986
2015;Bar;1987
2016;Bar-Cel-Ona;1987
2017;Barbacoa sangrienta;1997
2018;Barcelona Connection;1988
2019;Barcelona i el mar;1982
2020;Barcelona i Gaudí;1984
2021;Barcelona sur;1981
2022;Barcelona és de tots;1980
2023;Barcelona, lament;1990
2024;Barrio;1998
2025;Barrios altos;1987
2026;Barriotonia;1998
2027;Barroco;1989
2028;Barça (Historia del F.C. Barcelona);1975
2029;Batida de raposas;1976
2030;Baton Rouge;1988
2031;Bazar Viena;1990
2032;Bearn o la sala de las muñecas;1983
2033;Beatriz;1976
2034;Belle epoque;1992
2035;Belles, blondes et bronzées;1981
2036;Belmonte;1995
2037;Beltenebros;1991
2038;Berenice;1985
2039;Berlín Blues;1988
2040;Bermude: la fossa maledetta;1978
2041;Bernegal;1978
2042;Bert;1998
2043;Besame;1989
2044;Besos y abrazos;1997
2045;Best Seller;1982
2046;Best-Seller: El premio;1996
2047;Bianco Apache;1987
2048;Bienaventura El Bruto;1987
2049;Bienes de consumo y calidad de vida;1982
2050;Bienvenido, Mister Krif;1975
2051;Big Wendy;1995
2052;Bihotzez;1985
2053;Bilbao;1978
2054;Black;1998
2055;Black Venus;1983
2056;Blanca Madison;1998
2057;Blanca o la luna;1996
2058;Blanco o negro;1990
2059;Blanco perfecto;1996
2060;Blancor;1975
2061;Bloody Maruja;1999
2062;Blue Gin;1992
2063;Boca a boca;1995
2064;Bocamina;1999
2065;Bodas de sangre;1981
2066;Bomba de relojería;1998
2067;Bon Nadal;1998
2068;Bona nit;1995
2069;Boom Boom;1990
2070;Boris Godounov;1989
2071;Borneo;1997
2072;Borrasca;1978
2073;Botas negras, látigo de cuero;1983
2074;Bragas calientes;1983
2075;Bragas húmedas;1984
2076;Bragueta historia;1986
2077;Brain;1991
2078;Breaking the Waves;1996
2079;Breu encontre;1993
2080;Breve trayectoria de unas aspas de molino;1980
2081;Brindis en la huerta;1979
2082;Bronze;1990
2083;Bruja, más que bruja;1976
2084;Brujas;1996
2085;Brujas mágicas;1981
2086;Brumal;1988
2087;Bruseles;1991
2088;Brácula. Condemor II;1997
2089;Buenas intenciones;1999
2090;Buenas noches;1997
2091;Buenas noches, señor monstruo;1982
2092;Bueno y tierno como un ángel;1989
2093;Bufons i reis;1994
2094;Buitres sobre la ciudad;1981
2095;Bulimia;1999
2096;Burlanga;1992
2097;Burro;1989
2098;Burrp!;1996
2099;Buría busca Burías;1998
2100;Buscando a Perico;1982
2101;Buñuel;1984
2102;Bwana;1996
2103;Bámbola;1996
2104;Bésame, tonta;1982
2105;Cera un castello con 40 cani;1990
2106;Cè un fantasma nel mio letto;1981
2107;Cabeza de boi;1996
2108;Cabeza de Vaca;1991
2109;Cabo de vara;1978
2110;Cachito;1996
2111;Cachorro;1996
2112;Cacique Bandeira;1975
2113;Cada ver es...;1981
2114;Cadáveres para el lunes;1994
2115;Café de puchero;1998
2116;Café para tres;1998
2117;Café, amor y estereofonía;1979
2118;Café, coca y puro;1985
2119;Cal dous estraños;1991
2120;Cales y cantos (La Mancha III);1978
2121;California;1977
2122;Call Girl: La vida privada de una señorita bien;1976
2123;Calor... y celos;1996
2124;Calvos anónimos;1998
2125;Calé;1987
2126;Camada negra;1977
2127;Camas;1997
2128;Cambio de sexo;1977
2129;Camelamos naquerar;1976
2130;Camila;1984
2131;Caminantes nocturnos;1996
2132;Camino de Santiago;1982
2133;Camino solitario;1984
2134;Caminos de tiza;1988
2135;Camiños de busca;1999
2136;Campamento internacional Uiaa Nun-Kun;1989
2137;Campeones;1997
2138;Campos de Níjar;1984
2139;Camí de tango;1994
2140;Canciones de nuestra vida;1975
2141;Canciones para después de una guerra;1976
2142;Canción de cuna;1990
2143;Canción de cuna;1994
2144;Canción de la trilla;1975
2145;Canción triste de...;1989
2146;Canela que tú me dieras;1995
2147;Canet Rock;1976
2148;Caniche;1979
2149;Cantata de Santa María de Iquique;1975
2150;Caperucita y Roja;1977
2151;Capità Escalaborns;1991
2152;Capullito de alhelí;1986
2153;Car Crash;1981
2154;Car-Men (Hombres-Coches);1984
2155;Cara de acelga;1987
2156;Cara quemada;1980
2157;Caracol, col, col;1995
2158;Caray con el divorcio;1982
2159;Caray con la viejecita;1982
2160;Carboneros de Navarra;1981
2161;Cariño mío, ¿qué me has hecho?;1979
2162;Cariño, he enviado a los hombres a la luna;1998
2163;Cariñosamente infiel;1980
2164;Carlas Song;1996
2165;Carlos Chaverri;1998
2166;Carlota: Amor es... veneno;1981
2167;Carmen;1983
2168;Carmen 3.G.;1979
2169;Carmen nue;1984
2170;Carmín;1983
2171;Carnaval;1990
2172;Carnaval de Pueblo;1987
2173;Carnaval en Tenerife;1976
2174;Carne apaleada;1978
2175;Carne de cerdo;1984
2176;Carne trémula;1997
2177;Carranze;1994
2178;Carrera nocturna;1987
2179;Carreteras secundarias;1997
2180;Carta a nadie;1984
2181;Cartas de amor de una monja;1978
2182;Cartas del parque;1989
2183;Cartas desde Huesca;1993
2184;Cartells dun poble en guerra;1975
2185;Carícies;1998
2186;Casa de citas;1978
2187;Casa Manchada;1977
2188;Casablanca revisitada;1992
2189;Casas viejas;1983
2190;Casc Antic;1978
2191;Casi veinte horas;1999
2192;Caso cerrado;1985
2193;Casta e pura;1981
2194;Castellers (Castillos humanos);1978
2195;Castilla eterna;1975
2196;Castillos - Museo de España: Castillo de Perelada;1975
2197;Casting;1998
2198;Casual Wear;1999
2199;Catalans universals;1980
2200;Catedral;1997
2201;Catherine Chérie;1982
2202;Catorce estaciones;1991
2203;Caudillo;1977
2204;Causa abierta contra el genocidio;1998
2205;Cautivos de la sombra;1994
2206;Cazadores;1997
2207;Cazar un gato negro;1977
2208;Caída libre;1994
2209;Caídos del cielo;1990
2210;Caín;1987
2211;Cecilia;1982
2212;Celedonio y yo somos así;1977
2213;Celos;1999
2214;Cena de asesinos;1989
2215;Cenizas a las cenizas;1993
2216;Centauro;1988
2217;Cet obscur objet du désir;1977
2218;Cha-cha-chá;1998
2219;Chantaje Nº 5;1992
2220;Chapuza uno;1976
2221;Chasco;1994
2222;Chatarra;1991
2223;Chechu y familia;1992
2224;Chely;1977
2225;Chernov/Chernov;1990
2226;Chevrolet;1997
2227;Chicano;1980
2228;Chicles;1996
2229;Chihuahua;1991
2230;Chillida;1978
2231;Chispita y sus gorilas;1982
2232;Chocolate;1980
2233;Chopicalqui 6.000. Andes del Peru;1975
2234;Christ;1984
2235;Christina y la reconversión sexual;1984
2236;Christine fue la culpable;1979
2237;Christopher Columbus: The Discovery;1992
2238;Churros, azúcar y otros sueños;1996
2239;Chéreau - Lenvers du théâtre;1986
2240;Cicuta;1998
2241;Cien kilos de inspiración;1991
2242;Cien maneras de hacer el pollo al txilindrón;1997
2243;Cien puntos para Julián Pintos;1981
2244;Ciencias naturales;1975
2245;Cientificament perfectes;1996
2246;Cinco años de mi vida;1988
2247;Cinco maneras de ver el placer;1985
2248;Cinco mujeres a todo gas;1992
2249;Cinco tenedores;1979
2250;Cinefília;1983
2251;Cinematógrafo 1900;1979
2252;Cinquantenari;1979
2253;Cipolla Colt;1975
2254;Cira;1996
2255;Cita;1996
2256;Cita con Alberto;1993
2257;Ciudad Baja (Downtown Heat);1994
2258;Ciudadanos bajo sospecha;1994
2259;Ciénaga;1993
2260;Clara;1998
2261;Clara es el precio;1975
2262;Clara foc;1991
2263;Claustro románico de Silos;1985
2264;Clavelitos;1993
2265;Climax;1977
2266;Climax/El proceso;1977
2267;Clips;1994
2268;Cloven Hoofed;1998
2269;Club Cala Azul;1975
2270;Cocaína;1980
2271;Coitado do Jorge;1993
2272;Colegas;1982
2273;Colegialas lesbianas y el placer de pervertir;1983
2274;Colorín colorado;1976
2275;Comamos y bebamos todos de El;1992
2276;Comando Txikia: Muerte de un presidente;1976
2277;Combate;1976
2278;Comin at Ya!;1981
2279;Commando terrorista;1990
2280;Como la uña de la carne;1978
2281;Como matar a papá... sin hacerle daño;1975
2282;Como se hizo: Acción mutante;1993
2283;Como tú quieras;1992
2284;Como un adiós;1983
2285;Como un relámpago;1996
2286;Companys, procés a Catalunya;1979
2287;Compañero de viaje;1979
2288;Completo confort;1997
2289;Compramos gente;1988
2290;Comunicat oficial;1982
2291;Con el culo al aire;1980
2292;Con el rabo entre las piernas;1981
2293;Con flores a María;1977
2294;Con gli occhi chiusi;1994
2295;Con la lucidez que nos da el paso del tiempo;1984
2296;Con la música a otra parte;1975
2297;Con las bragas en la mano;1982
2298;Con mucho cariño;1977
2299;Con un pie en la tumba;1998
2300;Con uñas y dientes;1977
2301;Confesiones íntimas de una exhibicionista;1983
2302;Confesión a Laura;1990
2303;Confluencias;1998
2304;Conquest;1983
2305;Consultorio sexológico;1980
2306;Contactos;1997
2307;Contaminación Biodigital;1998
2308;Contar;1994
2309;Contestatarios (Poemágenes 1);1975
2310;Continental;1990
2311;Continuum 1;1975
2312;Contos de Alentraia: Tornabón;1994
2313;Contra el viento;1990
2314;Contra el águila y el león;1999
2315;Contra la pared;1988
2316;Contrarreloj;1996
2317;Convivencia;1984
2318;Cop de porta;1993
2319;Copia cero;1982
2320;Copia nueva;1997
2321;Corazón de cristal;1986
2322;Corazón de papel;1982
2323;Corazón loco;1997
2324;Corderos de Dios;1997
2325;Coro de ángeles;1996
2326;Corpus de sang. La revolta social i política dels segadors;1980
2327;Corridas de alegría;1982
2328;Corsarios del chip;1996
2329;Coruña imposible;1995
2330;Cos mort;1987
2331;Cosas nuestras;1999
2332;Cosas que dejé en La Habana;1997
2333;Cosas que nunca te dije;1996
2334;Cosas que olvidé recordar;1999
2335;Cosas que pasan;1994
2336;Coses que passen;1997
2337;Coses que tornen;1977
2338;Costa Brava;1995
2339;Così come sei;1978
2340;Coto de caza;1983
2341;Cousin Bobby;1992
2342;Crimen en familia;1985
2343;Crimen pluscuamperfecto;1999
2344;Crisis;1982
2345;Cristal amarillo;1981
2346;Cristino de Vera (Artistas españoles de hoy);1975
2347;Cristóbal Colón, de oficio... descubridor;1982
2348;Crits sords;1984
2349;Cronaca di un amore violato;1995
2350;Cruza la puerta;1984
2351;Crystalstone;1987
2352;Cràpules;1993
2353;Créeme, estoy muerto;1998
2354;Cría cuervos;1976
2355;Crímenes ejemplares (Cuentos 1 y 2);1983
2356;Crónica de la guerra carlista;1988
2357;Crónica de un instante;1981
2358;Crónica de un vino;1976
2359;Crónica exterior;1976
2360;Crónica sentimental en rojo;1986
2361;Crónicas del bromuro;1980
2362;Cualquier cosa;1976
2363;Cualquier día con Manuela;1990
2364;Cualquier lugar;1998
2365;Cualquier tiempo pasará (cualquier tiempo pasado);1983
2366;Cuando Almanzor perdió el tambor;1984
2367;Cuando Conchita se escapa, no hay tocata;1976
2368;Cuando el bosque avance;1976
2369;Cuando el cuerno suena;1975
2370;Cuando el futuro nos alcance;1999
2371;Cuando el mundo se acabe te seguiré amando;1998
2372;Cuando la caza se vuelve competición;1976
2373;Cuando los maridos se iban a la guerra;1976
2374;Cuando mueras que harás tú?;1979
2375;Cuando te encontré;1999
2376;Cuando vuelvas a mi lado;1999
2377;Cuantísimo peligro;1999
2378;Cuarenta años sin sexo;1979
2379;Cuarteto de La Habana;1999
2380;Cuatro locos buscan manicomio;1980
2381;Cuatro mujeres y un lío;1985
2382;Cuenca hoy;1975
2383;Cuentos de las sábanas blancas;1977
2384;Cuentos eróticos;1980
2385;Cuentos junto al fuego;1982
2386;Cuentos para una escapada;1981
2387;Cuernos de mujer;1995
2388;Cuerpo a cuerpo;1984
2389;Cuestión de suerte;1996
2390;Cuestión de tiempo;1988
2391;Cupido se enamora;1984
2392;Cámara rápida;1996
2393;Cómo enseñar un trabajo;1976
2394;Cómo levantar 1000 kilos;1991
2395;Cómo ser infeliz y disfrutarlo;1994
2396;Cómo ser mujer y no morir en el intento;1991
2397;D.N.I.;1996
2398;Dallas;1975
2399;Dalí;1991
2400;Dame algo;1997
2401;Dame fuego;1994
2402;Dancing Machine;1990
2403;Daniya, jardín del harem;1988
2404;Danzón;1991
2405;Dark Mission: Flowers of Evil;1988
2406;Das Tal der tanzenden Witwen;1975
2407;David;1995
2408;David;1996
2409;Day of the Assassin;1979
2410;De camisa vieja a chaqueta nueva;1982
2411;De Cáceres a Portugal;1978
2412;De fresa, limón y menta;1978
2413;De hombre a hombre;1985
2414;De mica en mica somple la pica;1984
2415;De niña a mujer;1982
2416;De nou a deu;1990
2417;De profesión: polígamo;1975
2418;De tripas corazón;1985
2419;De un instante;1984
2420;Deadly Manor;1990
2421;Decirte que te quiero;1995
2422;Dedicatoria;1980
2423;Degradació de la ciutat;1978
2424;Dejadme vivir;1982
2425;Del amor y de la muerte;1977
2426;Del contorno y sus formas;1976
2427;Del honor de Leonor;1984
2428;Delincuentes de barrio;1998
2429;Delirio damore;1977
2430;Delirios de amor;1986
2431;Delirium;1983
2432;Demasiado caliente para ti;1996
2433;Demasiado corazón;1992
2434;Demasiado para Gálvez;1981
2435;Demasiado viejo para morir joven;1989
2436;Demonios en el jardín;1982
2437;Denver;1985
2438;Depizza depizza;1995
2439;Depravación;1982
2440;Deprisa, deprisa;1981
2441;Derechos humanos ¿Cumpleaños feliz?;1998
2442;Descanse en piezas;1987
2443;Desde el abismo;1980
2444;Desde el tejado;1998
2445;Desenfrenos carnales;1982
2446;Deseo;1976
2447;Deseo carnal;1978
2448;Deseo oculto;1992
2449;Desnuda inquietud;1976
2450;Despertaferro;1990
2451;Despido improcedente;1980
2452;Después de la tormenta;1990
2453;Después de tantos años;1994
2454;Después de... primera parte: No se os puede dejar solos;1983
2455;Después de... segunda parte: Atado y bien atado;1983
2456;Después del sueño;1992
2457;Destiempo;1997
2458;Desvío al paraíso;1994
2459;Detectives sin piedad;1990
2460;Detrás de cada día;1980
2461;Dhaulagiri 8.172 metres. La muntanya de les tempestes;1981
2462;Diada nacional de Catalunya 1977;1977
2463;Diafragma - cero;1976
2464;Diario de invierno;1988
2465;Diario para un cuento;1998
2466;Dichoso mordisco;1976
2467;Die sieben Hügel Roms;1999
2468;Die Standarte;1977
2469;Dies Irae;1998
2470;Dile a Laura que la quiero;1995
2471;Dime una mentira;1993
2472;Dimorfo;1980
2473;Dinero maldito;1979
2474;Dinero sucio;1992
2475;Dios bendiga cada rincón de esta casa;1977
2476;Directissima al Yerupaja Sud 6.438 metres. Huay-Huasch, Serralada de la Verticalitat;1978
2477;Directo al corazón;1991
2478;Discotheque;1999
2479;Disertaciones sobre una coliflor;1999
2480;Disparate nacional;1990
2481;Disparen a matar;1990
2482;Disparen sobre el cineasta;1984
2483;Distrito Picasso;1994
2484;Divinas palabras;1987
2485;Divorcio a la andaluza;1975
2486;Diálogo amor;1976
2487;Doblones de a ocho;1990
2488;Docteur Justice;1975
2489;Dolores;1981
2490;Domingo Fontán, la pasión por la Cartografía;1996
2491;Don Cipote de la Manga;1985
2492;Don Isa;1992
2493;Don Jaume, el conquistador;1994
2494;Don Juan;1998
2495;Don Juan en los infiernos;1991
2496;Don Juan, mi querido fantasma;1990
2497;Don Quijote de Orson Welles;1992
2498;Donde hay patrón...;1978
2499;Donde termina el corazón;1989
2500;Doroteah;1999
2501;Dos;1980
2502;Dos;1999
2503;Dos anys despres;1999
2504;Dos hombres y una mujer;1994
2505;Dos hombres y, en medio, dos mujeres;1977
2506;Dos mejor que uno;1984
2507;Dos pillos y pico;1981
2508;Dos por dos;1997
2509;Dos y dos, cinco;1981
2510;Doscientos lagos;1975
2511;Doscientos metros;1996
2512;Dous enfermos e unha enfermeira;1997
2513;Doña Bárbara;1998
2514;Doña Perfecta;1977
2515;Dr. Curry;1997
2516;Dragón Rapide;1986
2517;Dreamers;1999
2518;Duelo a muerte;1981
2519;Duerme, duerme, mi amor;1975
2520;Dulces coitos in Blue;1985
2521;Dulces horas;1982
2522;Dura lex;1997
2523;Décimo aniversario;1998
2524;Déjeme que le cuente;1998
2525;Démons de midi;1979
2526;Día a día;1978
2527;Días contados;1994
2528;Días de sol;1999
2529;Días de tormenta;1995
2530;Días sin luz;1995
2531;Eco;1996
2532;Edipo e Techné;1997
2533;Eduardo;1990
2534;Egon Schiele;1998
2535;Eh?;1976
2536;Ehun metro;1986
2537;Ein lasterhafter Sommer;1982
2538;El abriguito;1996
2539;El abuelo;1998
2540;El abuelo, la condesa y Escarlata la traviesa;1992
2541;El acto;1979
2542;El acto;1989
2543;El acto sensual;1983
2544;El adúltero;1975
2545;El agua hilvanada;1998
2546;El aire de un crimen;1988
2547;El alcalde y la política;1980
2548;El alegre divorciado;1976
2549;El aliento del diablo;1993
2550;El alijo;1976
2551;El alquiler;1994
2552;El amante bilingüe;1993
2553;El amor brujo;1986
2554;El amor de ahora;1987
2555;El amor es siempre joven;1991
2556;El amor es un juego extraño;1983
2557;El amor perjudica seriamente la salud;1996
2558;El amor sí tiene cura;1991
2559;El anacoreta;1977
2560;El anillo de niebla;1985
2561;El anticristo 2 (Magic London);1989
2562;El anónimo... ¡vaya papelón!;1990
2563;El apolítico;1977
2564;El aroma del Copal;1997
2565;El arreglo;1983
2566;El asalto al castillo de la Moncloa;1978
2567;El asesino de la calle Pradillo;1996
2568;El asesino de muñecas;1975
2569;El asesino de Pedralbes;1980
2570;El asesino del Pepino Pogipol;1994
2571;El asesino llevaba medias negras;1984
2572;El asesino no está solo;1975
2573;El asteroide loco;1980
2574;El ataque de los pájaros;1987
2575;El ataque del hombre mochila;1997
2576;El aullido del diablo;1987
2577;El avispero;1976
2578;El año de las luces;1986
2579;El baile de las ánimas;1994
2580;El baile del pato;1989
2581;El balcón abierto;1984
2582;El Barberillo de Lavapiés;1996
2583;El barranco de Viznar;1976
2584;El barri de Fort Pienc;1979
2585;El barri del Besòs;1982
2586;El bengador Gusticiero y su pastelera madre;1977
2587;El beso de la tierra;1999
2588;El beso del sueño;1992
2589;El beso perfecto;1997
2590;El bosque animado;1987
2591;El Bosque de Piedra;1997
2592;El buga y la tortuga;1995
2593;El buscón;1979
2594;El caballero de la mano en el pecho;1976
2595;El caballero del dragón;1985
2596;El cabezota;1982
2597;El calor de la llama;1976
2598;El calor de septiembre;1979
2599;El caminante;1979
2600;El camino dorado;1979
2601;El campo para el hombre;1975
2602;El canto de la cigarra;1980
2603;El canto de un duro;1997
2604;El caníbal;1980
2605;El capitán Maravilla;1999
2606;El caracol;1996
2607;El carnaval de las bestias;1980
2608;El caso Almería;1984
2609;El caso de los falsos doctores;1996
2610;El català a lescola;1977
2611;El caçador furtiu;1995
2612;El celador;1990
2613;El censor;1989
2614;El cepo;1982
2615;El chiste;1976
2616;El chou de Cho-Juaa;1978
2617;El chupete de Lulú;1985
2618;El cianuro... ¿solo o con leche?;1994
2619;El Cid cabreador;1983
2620;El cielo de las putas;1997
2621;El cielo sube;1991
2622;El clan de los inmorales;1975
2623;El clan de los Nazarenos;1975
2624;El clarinete;1985
2625;El cobrador del gas sólo llama una vez;1992
2626;El colegio de la muerte;1975
2627;El color de las nubes;1997
2628;El columpio;1995
2629;El cometa;1999
2630;El comisario G. en el caso del cabaret;1975
2631;El complot dels anells;1988
2632;El conductor;1998
2633;El consenso;1980
2634;El corazón del bosque;1979
2635;El coronel no tiene quien le escriba;1999
2636;El crack;1981
2637;El crack II;1983
2638;El crepúsculo de las momias;1993
2639;El crimen de Cuenca;1980
2640;El crimen del cine Oriente;1997
2641;El crimen perfecto;1976
2642;El cumplido;1999
2643;El cura ya tiene hijo;1984
2644;El currante;1983
2645;El curso en que amamos a Kim Novak;1980
2646;El darrer instant;1988
2647;El dedo en la llaga;1996
2648;El desencanto;1976
2649;El desnudo en el Museo del Prado;1979
2650;El despertar de los sentidos;1977
2651;El desván de la fantasía;1978
2652;El detective y la muerte;1994
2653;El dia del llibre;1982
2654;El diablo en el paraíso;1999
2655;El diputado;1978
2656;El disputado voto del señor Cayo;1986
2657;El divorcio que viene;1980
2658;El doctor más majete del planeta;1993
2659;El domini del sentits;1996
2660;El donante;1985
2661;El Dorado;1988
2662;El dret de vaga;1978
2663;El día blanco;1990
2664;El día de la bestia;1995
2665;El día del presidente;1979
2666;El día nunca, por la tarde;1994
2667;El día que nací yo;1991
2668;El día siguiente: Larga espera, cita corta 2;1998
2669;El E.T.E. y el Oto;1983
2670;El efecto mariposa;1995
2671;El elegido;1985
2672;El encargo 2 (El gordo);1997
2673;El encargo del cazador;1990
2674;El enigma del yate;1983
2675;El entusiasmo;1998
2676;El equipaje abierto;1999
2677;El equipo Aahhgg;1989
2678;El erotismo y la informática;1976
2679;El erótico enmascarado;1980
2680;El erótico y loco túnel del tiempo;1983
2681;El escarabajo de oro;1999
2682;El escritor, el viejo y el mar;1976
2683;El espantapájaros;1975
2684;El espectro de la guerra;1988
2685;El espiritista;1977
2686;El espíritu de la luna;1993
2687;El evangelio de las Maravillas;1998
2688;El exhibicionista;1981
2689;El extranger-oh! de la calle Cruz del Sur;1987
2690;El extraño amor de los vampiros;1975
2691;El fantasma expressivo;1989
2692;El far;1998
2693;El faro;1998
2694;El fascista, doña Pura y el follón de la escultura;1983
2695;El fascista, la beata y su hija desvirgada;1978
2696;El filandón;1985
2697;El fin de la inocencia;1977
2698;El final;1975
2699;El finiquito;1997
2700;El fontanero, su mujer, y otras cosas de meter...;1981
2701;El fotógrafo;1998
2702;El Francotirador;1978
2703;El fumador de pipa;1995
2704;El globero;1979
2705;El gran Freddy Ortigosa;1976
2706;El gran mogollón;1982
2707;El gran secreto;1980
2708;El gran Serafín;1987
2709;El gran Teatre del Liceu;1981
2710;El grito en el cielo;1998
2711;El guepardo;1979
2712;El hada y las mujeres;1976
2713;El hermano bastardo de Dios;1986
2714;El Higo mágico;1983
2715;El hijo del cura;1982
2716;El hijo es mío;1978
2717;El hijo pródigo;1998
2718;El hilo de cristal;1988
2719;El hombre de al lado;1996
2720;El hombre de cristal;1993
2721;El hombre de la deuda externa;1987
2722;El hombre de la multitud;1986
2723;El hombre de la nevera;1993
2724;El hombre de las palomitas;1989
2725;El hombre de los hongos;1976
2726;El hombre de moda;1980
2727;El hombre del Gran Río;1982
2728;El hombre del pito mágico;1983
2729;El hombre perseguido por un O.V.N.I.;1976
2730;El hombre que mató a Mengele;1985
2731;El hombre que supo amar;1978
2732;El hombre que traficaba versos;1982
2733;El hombre que yo quiero;1978
2734;El hombre y el fuego;1980
2735;El hombre: Un viaje a Estigia;1995
2736;El hotel de los ligues;1983
2737;El huerto del Francés;1978
2738;El Huesped;1999
2739;El huésped de la niebla;1982
2740;El in... moral;1976
2741;El increíble aumento del coste de la vida;1976
2742;El indio Pluma Roja;1975
2743;El infierno prometido;1992
2744;El insomne;1994
2745;El intruso;1996
2746;El invernadero;1983
2747;El invierno en Lisboa;1991
2748;El jardín de cemento;1980
2749;El jardín romántico;1979
2750;El jardín secreto;1984
2751;El jovencito Drácula;1976
2752;El juego de los mensajes invisibles;1992
2753;El juego del diablo;1975
2754;El juego más divertido;1988
2755;El jueves pasado;1977
2756;El juguete y el juego;1975
2757;El juicio final;1992
2758;El laberinto griego;1993
2759;El ladrido;1977
2760;El lago de las vírgenes;1982
2761;El lanzador de Martillo;1998
2762;El largo invierno;1992
2763;El largo sueño de las plantas;1992
2764;El largo viaje de Rústico;1993
2765;El lenguaje de Rossellini;1976
2766;El león enamorado;1979
2767;El libro de buen amor;1975
2768;El libro de buen amor II;1976
2769;El libro profético;1975
2770;El liguero mágico;1980
2771;El llanero solitario;1980
2772;El llanto de la fiera;1998
2773;El llop del bosc;1995
2774;El lobo negro;1981
2775;El love feroz o Cuando los hijos juegan al amor;1975
2776;El Lute (camina o revienta);1987
2777;El Lute II: mañana seré libre;1988
2778;El límite del amor;1976
2779;El lío de papá;1985
2780;El maestro de esgrima;1992
2781;El magnolio;1997
2782;El manzano impenetrable;1999
2783;El mar es azul;1989
2784;El mar y el tiempo;1989
2785;El maravilloso mundo del sexo;1978
2786;El marido perfecto;1993
2787;El marqués, la menor y el travesti;1983
2788;El mejor de los tiempos;1990
2789;El mejor regalo;1975
2790;El mensaje;1978
2791;El mercenario II;1983
2792;El milagro de P. Tinto;1998
2793;El ministro de Hacienda en Córdoba;1975
2794;El mirón;1977
2795;El mirón y la exhibicionista;1986
2796;El misterio de Cynthia Baird;1985
2797;El misterio de la perla negra;1976
2798;El misterio del pito desaparecido;1995
2799;El misterio Eva Perón;1987
2800;El momento de la verdad;1979
2801;El monosabio;1977
2802;El monstruo;1980
2803;El mundo de Gaudí;1976
2804;El mundo sexual de la pareja;1982
2805;El muro del silencio;1996
2806;El mágico prodigioso;1981
2807;El móvil;1997
2808;El nacimiento de un imperio;1998
2809;El negocio es el negocio;1995
2810;El nido;1980
2811;El niño de la luna;1989
2812;El niño de su mamá;1980
2813;El niño invisible;1995
2814;El número marcado;1989
2815;El ojete de Lulú;1986
2816;El ojo de la tormenta;1983
2817;El ojo de Sixto;1996
2818;El ojo del fotógrafo;1993
2819;El olor de las manzanas;1999
2820;El olor del vientre;1998
2821;El olvido de la memoria;1999
2822;El orador;1978
2823;El orden cómico;1986
2824;El orgasmo y el éxtasis;1982
2825;El origen del problema;1997
2826;El oro de los montes;1977
2827;El otro;1984
2828;El otro Luis;1975
2829;El palomo cojo;1995
2830;El pan debajo del brazo;1984
2831;El paraguas;1996
2832;El paranoico;1975
2833;El paraíso perdido;1999
2834;El parc;1992
2835;El paseo;1975
2836;El pañuelo de mármol;1989
2837;El pecador impecable;1987
2838;El pequeño vagabundo;1983
2839;El pericote;1976
2840;El periscopio;1979
2841;El perquè de tot plegat;1995
2842;El perro;1979
2843;El perro del hortelano;1996
2844;El pez;1998
2845;El pianista;1998
2846;El pico;1983
2847;El pico 2;1984
2848;El pisito;1996
2849;El placer de matar;1988
2850;El pliegue del hipocampo;1997
2851;El pobrecito Draculín;1977
2852;El poder de la venganza;1988
2853;El poder del deseo;1975
2854;El poderoso influjo de la luna;1981
2855;El polizón del Ulises;1987
2856;El precio del aborto;1975
2857;El pretendiente;1982
2858;El primer divorcio;1982
2859;El primer torero porno;1986
2860;El primerizo;1993
2861;El proceso de Burgos;1979
2862;El Profeta del Tiempo;1995
2863;El provocador;1995
2864;El puente;1977
2865;El pájaro de la felicidad;1993
2866;El ramo de flores;1996
2867;El recomendado;1985
2868;El rediezcubrimiento de México;1979
2869;El regreso de Eva Man;1982
2870;El regreso del viento del Norte;1994
2871;El reino de Víctor;1989
2872;El retorno del Hombre-Lobo;1981
2873;El retrato;1995
2874;El rey del mambo;1989
2875;El rey del río;1995
2876;El rey pasmado;1991
2877;El rey tuerto;1990
2878;El rito;1983
2879;El robobo de la jojoya;1991
2880;El rodaje;1999
2881;El rollo de septiembre;1985
2882;El río de oro;1986
2883;El río que nos lleva;1989
2884;El sabor de la comida de lata;1997
2885;El sacamantecas;1979
2886;El sacerdote;1978
